Beach;Lon;Lat;;;
Aliwal shoal; 30.802942;-30.209897;;;
Amanzimtoti; 30.902679;-30.039675;;;
Antseys beach; 31.020224;-29.923605;;;
Baboon rock; 18.476804;-34.259338;;;
Ballito; 31.235477;-29.522100;;;
Banana beach; 30.518293;-30.661647;;;
Bettys bay; 18.918874;-34.359190;;;
Blythedale; 31.352397;-29.372437;;;
Bordjies; 18.464968;-34.317091;;;
Bordjies deep; 18.471534;-34.313900;;;
Brighton beach; 31.010368;-29.936147;;;
Buffelsbaai ; 22.966027;-34.085876;;;
Cannon rocks; 26.554036;-33.748886;;;
Cape agulhus ; 20.012626;-34.831181;;;
Cape padrone; 26.467907;-33.772496;;;
Caribbean bay; 30.204129;-31.076956;;;
Cwebe; 28.956239;-32.196422;;;
Dassen Island; 18.095043;-33.420943;;;
De Hoop; 20.556062;-34.472653;;;
Dead whale gul; 18.508870;-34.097571;;;
Doringbaai; 18.234262;-31.822905;;;
Durban; 31.039423;-29.825407;;;
Dwesa; 28.898728;-32.270218;;;
Dyer island; 19.411376;-34.680162;;;
Eastern beach; 27.926699;-33.008105;;;
Eerste rivier; 18.738914;-34.077864;;;
Elands bay; 18.334648;-32.314062;;;
Fishhoek; 18.435750;-34.136513;;;
Gansbaai; 19.341421;-34.576573;;;
Glenmore; 31.064912;-29.876252;;;
Gordons Bay; 18.861803;-34.157912;;;
Hamburg; 27.238240;-33.439677;;;
Hermanus; 19.270402;-34.411534;;;
Hibberdene; 30.579794;-30.572395;;;
Hondeklipbaai; 17.269972;-30.329579;;;
Hout bay; 18.354964;-34.049890;;;
Humewood; 25.653392;-33.978317;;;
Ifafa; 30.653926;-30.463067;;;
Isipingo; 30.948556;-29.999507;;;
Kalk bay; 18.449270;-34.130819;;;
Karridene; 30.847872;-30.126576;;;
Kent bay; 30.308433;-30.936703;;;
Kenton on sea; 26.679356;-33.689964;;;
Koeberg basin; 18.418379;-33.662111;;;
Kommetjie; 18.335039;-34.130300;;;
Knysna; 23.061299;-34.085496;;;
La Mercy; 31.141536;-29.637354;;;
Lamberts bay; 18.307088;-32.087973;;;
Leadsman shoal; 32.614609;-27.801215;;;
Leisure bay; 18.469821;-33.899890;;;
Mangolds pool; 25.553143;-34.044076;;;
Margate; 30.392104;-30.851175;;;
Marina beach; 30.307797;-30.937093;;;
Millers point; 18.471215;-34.228667;;;
Mossel bay; 22.124972;-34.144076;;;
Mosterts hoek; 24.786503;-34.200258;;;
Mtwalumi; 30.632714;-30.487713;;;
Muizenberg; 18.481492;-34.107908;;;
Mzamba; 30.213616;-31.077001;;;
Nahoon beach; 27.950979;-32.988492;;;
Nordhoek; 18.350408;-34.098908;;;
Orient beach; 27.916151;-33.024714;;;
Oudekraal; 18.347210;-33.985965;;;
Oyster bay; 24.654076;-34.174537;;;
Park Rynie; 30.743451;-30.319163;;;
Paternoster; 17.891619;-32.805961;;;
Plettenberg bay; 23.379811;-34.058239;;;
Pollock beach; 25.672773;-33.986173;;;
Port aflred; 26.905574;-33.599248;;;
Port edward; 30.243578;-31.035464;;;
Port nolloth ; 16.865155;-29.259085;;;
Port st francis; 24.871377;-34.193515;;;
Ramsgate; 30.368465;-30.871599;;;
Rebels rus; 24.750969;-34.193016;;;
Richards bay; 32.085108;-28.828454;;;
Roman rock; 18.458657;-34.179741;;;
Saldanha bay; 17.961706;-33.042288;;;
Salt rock; 31.245082;-29.498601;;;
San Lameer; 30.303917;-30.946016;;;
Saxon; 19.347304;-34.583280;;;
Schoenmakerskop; 25.613202;-34.047576;;;
Scottburgh; 30.751947;-30.299094;;;
Sea point; 18.383937;-33.917103;;;
Sea view; 31.041432;-29.904730;;;
Sodwana ; 32.678933;-27.557218;;;
South port; 30.504969;-30.682896;;;
South broom; 30.315734;-30.932822;;;
St croix; 25.770004;-33.797331;;;
St helena bay; 18.015431;-32.745143;;;
St michaels; 30.405115;-30.826828;;;
Stilbaai; 21.440031;-34.371221;;;
Storms river mouth; 23.902176;-34.021079;;;
Sunwich port; 30.513842;-30.668534;;;
TO strand; 30.238326;-31.032408;;;
Thompsons bay; 31.228010;-29.522965;;;
Thyspunt; 24.610550;-34.188187;;;
Tinly manor; 31.287410;-29.451158;;;
Trafalgar; 30.301556;-30.958050;;;
Tsitsikama; 23.857731;-34.023150;;;
Umdloti; 31.125101;-29.665116;;;
Umgababa; 30.843302;-30.137592;;;
Umhlanga rocks; 31.083519;-29.737620;;;
Umtentweni; 30.471250;-30.724381;;;
Umzumbe; 30.546177;-30.624400;;;
Uvongo; 30.397018;-30.834908;;;
Warner beach; 30.868970;-30.083811;;;
Westbrook; 31.177357;-29.585853;;;
Winkelspruit; 30.857695;-30.105136;;;
Woody cape; 26.307900;-33.765864;;;
Ystervarkpunt; 21.732361;-34.394463;;;
Yzerfontein; 18.157601;-33.363435;;;
Zinkwazi; 31.439939;-29.289588;;;
